index,Place Name,Place ID,Place Sequence,Boardings,Alightings,Load,time,day,line,direction,per,level,ppsm,label
1,Bowdoin,B.70038,1,1,0,1,5am-6am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,5-6am
2,Government Center,B.70040,2,10,0.2,10,5am-6am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,5-6am
3,State,B.70042,3,11,0.1,22,5am-6am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,5-6am
4,Aquarium,B.70044,4,1,0.8,24,5am-6am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,5-6am
5,Maverick,B.70046,5,5,8.2,23,5am-6am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,5-6am
6,Airport,B.70048,6,2,3.4,10,5am-6am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,5-6am
7,Wood Island,B.70050,7,0,2.3,8,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
8,Orient Heights,B.70052,8,1,2.5,6,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
9,Suffolk Downs,B.70054,9,0,0.3,4,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
10,Beachmont,B.70056,10,1,2.5,9,5am-6am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,5-6am
11,Revere Beach,B.70058,11,0,3,6,5am-6am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,5-6am
12,Wonderland,B.70060,12,0,6.2,0,5am-6am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,5-6am
13,Bowdoin,B.70038,1,1,0,1,6am-7am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,6-7am
14,Government Center,B.70040,2,13,0.2,14,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
15,State,B.70042,3,11,0.2,25,6am-7am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,6-7am
16,Aquarium,B.70044,4,1,1,25,6am-7am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,6-7am
17,Maverick,B.70046,5,4,8.9,21,6am-7am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,6-7am
18,Airport,B.70048,6,3,6.7,17,6am-7am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,6-7am
19,Wood Island,B.70050,7,1,5,13,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
20,Orient Heights,B.70052,8,1,3.4,11,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
21,Suffolk Downs,B.70054,9,0,0.4,10,6am-7am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7am
22,Beachmont,B.70056,10,1,2.8,8,6am-7am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,6-7am
23,Revere Beach,B.70058,11,0,3,5,6am-7am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,6-7am
24,Wonderland,B.70060,12,0,5,0,6am-7am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,6-7am
25,Bowdoin,B.70038,1,3,0,3,7am-8am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,7-8am
26,Government Center,B.70040,2,15,0.1,18,7am-8am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,7-8am
27,State,B.70042,3,15,0.5,32,7am-8am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,7-8am
28,Aquarium,B.70044,4,2,3,31,7am-8am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,7-8am
29,Maverick,B.70046,5,5,12.5,23,7am-8am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,7-8am
30,Airport,B.70048,6,4,7.9,20,7am-8am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,7-8am
31,Wood Island,B.70050,7,1,3.6,17,7am-8am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,7-8am
32,Orient Heights,B.70052,8,1,4.4,13,7am-8am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,7-8am
33,Suffolk Downs,B.70054,9,0,0.6,12,7am-8am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,7-8am
34,Beachmont,B.70056,10,2,3.1,12,7am-8am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,7-8am
35,Revere Beach,B.70058,11,0,5.5,7,7am-8am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,7-8am
36,Wonderland,B.70060,12,0,7,0,7am-8am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,7-8am
37,Bowdoin,B.70038,1,2,0,2,8am-9am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,8-9am
38,Government Center,B.70040,2,15,0.2,17,8am-9am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,8-9am
39,State,B.70042,3,14,0.9,30,8am-9am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,8-9am
40,Aquarium,B.70044,4,2,3.5,27,8am-9am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,8-9am
41,Maverick,B.70046,5,5,13.4,20,8am-9am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,8-9am
42,Airport,B.70048,6,4,7.2,18,8am-9am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,8-9am
43,Wood Island,B.70050,7,1,2.7,16,8am-9am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,8-9am
44,Orient Heights,B.70052,8,1,5,13,8am-9am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,8-9am
45,Suffolk Downs,B.70054,9,0,0.9,12,8am-9am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,8-9am
46,Beachmont,B.70056,10,1,2.6,10,8am-9am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,8-9am
47,Revere Beach,B.70058,11,0,4.7,5,8am-9am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,8-9am
48,Wonderland,B.70060,12,0,5,0,8am-9am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,8-9am
49,Bowdoin,B.70038,1,2,0,2,9am-10am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,9-10am
50,Government Center,B.70040,2,15,0.3,17,9am-10am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,9-10am
51,State,B.70042,3,13,0.8,30,9am-10am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,9-10am
52,Aquarium,B.70044,4,2,3.2,29,9am-10am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,9-10am
53,Maverick,B.70046,5,5,12.5,21,9am-10am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,9-10am
54,Airport,B.70048,6,3,6.1,20,9am-10am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,9-10am
55,Wood Island,B.70050,7,1,2.2,18,9am-10am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,9-10am
56,Orient Heights,B.70052,8,1,5.1,13,9am-10am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,9-10am
57,Suffolk Downs,B.70054,9,0,0.7,12,9am-10am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,9-10am
58,Beachmont,B.70056,10,1,3,10,9am-10am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,9-10am
59,Revere Beach,B.70058,11,0,4.5,6,9am-10am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,9-10am
60,Wonderland,B.70060,12,0,5.9,0,9am-10am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,9-10am
61,Bowdoin,B.70038,1,4,0,4,10am-11am,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,10-11am
62,Government Center,B.70040,2,28,0.2,32,10am-11am,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,10-11am
63,State,B.70042,3,24,0.6,54,10am-11am,Weekday,Blue Line,Eastbound,9,Plenty of room,0.17455391776570983,10-11am
64,Aquarium,B.70044,4,4,3.7,54,10am-11am,Weekday,Blue Line,Eastbound,9,Plenty of room,0.17455391776570983,10-11am
65,Maverick,B.70046,5,7,17.3,43,10am-11am,Weekday,Blue Line,Eastbound,7,Plenty of room,0.13576415826221877,10-11am
66,Airport,B.70048,6,6,12.7,38,10am-11am,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,10-11am
67,Wood Island,B.70050,7,1,4,34,10am-11am,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,10-11am
68,Orient Heights,B.70052,8,1,9.3,27,10am-11am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,10-11am
69,Suffolk Downs,B.70054,9,0,1.6,23,10am-11am,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,10-11am
70,Beachmont,B.70056,10,1,6.5,18,10am-11am,Weekday,Blue Line,Eastbound,3,Plenty of room,0.05818463925523661,10-11am
71,Revere Beach,B.70058,11,0,8.4,11,10am-11am,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,10-11am
72,Wonderland,B.70060,12,0,10.9,0,10am-11am,Weekday,Blue Line,Eastbound,0,Plenty of room,0,10-11am
73,Bowdoin,B.70038,1,6,0,6,11am-12pm,Weekday,Blue Line,Eastbound,1,Plenty of room,0.01939487975174553,11-12pm
74,Government Center,B.70040,2,42,0.5,48,11am-12pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,11-12pm
75,State,B.70042,3,37,1,85,11am-12pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,11-12pm
76,Aquarium,B.70044,4,6,5.5,81,11am-12pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,11-12pm
77,Maverick,B.70046,5,10,29.4,64,11am-12pm,Weekday,Blue Line,Eastbound,11,Plenty of room,0.21334367726920092,11-12pm
78,Airport,B.70048,6,7,15,51,11am-12pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,11-12pm
79,Wood Island,B.70050,7,1,5.1,46,11am-12pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,11-12pm
80,Orient Heights,B.70052,8,2,12.6,35,11am-12pm,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,11-12pm
81,Suffolk Downs,B.70054,9,0,2.5,34,11am-12pm,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,11-12pm
82,Beachmont,B.70056,10,2,8.8,25,11am-12pm,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,11-12pm
83,Revere Beach,B.70058,11,0,10.2,14,11am-12pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,11-12pm
84,Wonderland,B.70060,12,0,13.5,0,11am-12pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,11-12pm
85,Bowdoin,B.70038,1,10,0,10,12pm-1pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,12-1pm
86,Government Center,B.70040,2,60,0.8,69,12pm-1pm,Weekday,Blue Line,Eastbound,12,Plenty of room,0.23273855702094645,12-1pm
87,State,B.70042,3,59,1.7,126,12pm-1pm,Weekday,Blue Line,Eastbound,21,Plenty of room,0.4072924747866563,12-1pm
88,Aquarium,B.70044,4,10,7,129,12pm-1pm,Weekday,Blue Line,Eastbound,22,Plenty of room,0.42668735453840184,12-1pm
89,Maverick,B.70046,5,14,44.6,91,12pm-1pm,Weekday,Blue Line,Eastbound,15,Plenty of room,0.29092319627618307,12-1pm
90,Airport,B.70048,6,12,23,82,12pm-1pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,12-1pm
91,Wood Island,B.70050,7,2,9.1,82,12pm-1pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,12-1pm
92,Orient Heights,B.70052,8,2,20.7,58,12pm-1pm,Weekday,Blue Line,Eastbound,10,Plenty of room,0.1939487975174554,12-1pm
93,Suffolk Downs,B.70054,9,0,3.5,52,12pm-1pm,Weekday,Blue Line,Eastbound,9,Plenty of room,0.17455391776570983,12-1pm
94,Beachmont,B.70056,10,2,15.5,39,12pm-1pm,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,12-1pm
95,Revere Beach,B.70058,11,1,16.1,23,12pm-1pm,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,12-1pm
96,Wonderland,B.70060,12,0,23.3,0,12pm-1pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,12-1pm
97,Bowdoin,B.70038,1,10,0,10,1pm-2pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,1-2pm
98,Government Center,B.70040,2,76,0.9,85,1pm-2pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,1-2pm
99,State,B.70042,3,70,1.7,152,1pm-2pm,Weekday,Blue Line,Eastbound,25,Plenty of room,0.4848719937936384,1-2pm
100,Aquarium,B.70044,4,12,8.2,156,1pm-2pm,Weekday,Blue Line,Eastbound,26,Not crowded,0.504266873545384,1-2pm
101,Maverick,B.70046,5,16,62.4,130,1pm-2pm,Weekday,Blue Line,Eastbound,22,Plenty of room,0.42668735453840184,1-2pm
102,Airport,B.70048,6,16,29.2,111,1pm-2pm,Weekday,Blue Line,Eastbound,18,Plenty of room,0.34910783553141966,1-2pm
103,Wood Island,B.70050,7,2,10.8,93,1pm-2pm,Weekday,Blue Line,Eastbound,16,Plenty of room,0.3103180760279286,1-2pm
104,Orient Heights,B.70052,8,3,25.3,75,1pm-2pm,Weekday,Blue Line,Eastbound,12,Plenty of room,0.23273855702094645,1-2pm
105,Suffolk Downs,B.70054,9,0,4.6,64,1pm-2pm,Weekday,Blue Line,Eastbound,11,Plenty of room,0.21334367726920092,1-2pm
106,Beachmont,B.70056,10,3,18.1,51,1pm-2pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,1-2pm
107,Revere Beach,B.70058,11,0,21.4,31,1pm-2pm,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,1-2pm
108,Wonderland,B.70060,12,0,29.6,0,1pm-2pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,1-2pm
109,Bowdoin,B.70038,1,11,0,11,2pm-3pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,2-3pm
110,Government Center,B.70040,2,68,0.9,79,2pm-3pm,Weekday,Blue Line,Eastbound,13,Plenty of room,0.252133436772692,2-3pm
111,State,B.70042,3,77,1.8,156,2pm-3pm,Weekday,Blue Line,Eastbound,26,Not crowded,0.504266873545384,2-3pm
112,Aquarium,B.70044,4,15,6.7,170,2pm-3pm,Weekday,Blue Line,Eastbound,28,Not crowded,0.5430566330488751,2-3pm
113,Maverick,B.70046,5,14,58.9,119,2pm-3pm,Weekday,Blue Line,Eastbound,20,Plenty of room,0.3878975950349108,2-3pm
114,Airport,B.70048,6,17,29.4,113,2pm-3pm,Weekday,Blue Line,Eastbound,19,Plenty of room,0.3685027152831653,2-3pm
115,Wood Island,B.70050,7,2,13.1,111,2pm-3pm,Weekday,Blue Line,Eastbound,18,Plenty of room,0.34910783553141966,2-3pm
116,Orient Heights,B.70052,8,2,29.2,85,2pm-3pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,2-3pm
117,Suffolk Downs,B.70054,9,0,4.4,64,2pm-3pm,Weekday,Blue Line,Eastbound,11,Plenty of room,0.21334367726920092,2-3pm
118,Beachmont,B.70056,10,2,17.9,47,2pm-3pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,2-3pm
119,Revere Beach,B.70058,11,0,21,30,2pm-3pm,Weekday,Blue Line,Eastbound,5,Plenty of room,0.0969743987587277,2-3pm
120,Wonderland,B.70060,12,0,32.4,0,2pm-3pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,2-3pm
121,Bowdoin,B.70038,1,22,0,22,3pm-4pm,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,3-4pm
122,Government Center,B.70040,2,85,0.9,105,3pm-4pm,Weekday,Blue Line,Eastbound,18,Plenty of room,0.34910783553141966,3-4pm
123,State,B.70042,3,78,1.8,185,3pm-4pm,Weekday,Blue Line,Eastbound,31,Not crowded,0.6012412723041117,3-4pm
124,Aquarium,B.70044,4,20,6.5,194,3pm-4pm,Weekday,Blue Line,Eastbound,32,Not crowded,0.6206361520558572,3-4pm
125,Maverick,B.70046,5,15,66.3,148,3pm-4pm,Weekday,Blue Line,Eastbound,25,Plenty of room,0.4848719937936384,3-4pm
126,Airport,B.70048,6,14,28.6,125,3pm-4pm,Weekday,Blue Line,Eastbound,21,Plenty of room,0.4072924747866563,3-4pm
127,Wood Island,B.70050,7,2,12,114,3pm-4pm,Weekday,Blue Line,Eastbound,19,Plenty of room,0.3685027152831653,3-4pm
128,Orient Heights,B.70052,8,2,29.8,91,3pm-4pm,Weekday,Blue Line,Eastbound,15,Plenty of room,0.29092319627618307,3-4pm
129,Suffolk Downs,B.70054,9,0,5.6,84,3pm-4pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,3-4pm
130,Beachmont,B.70056,10,2,25.4,64,3pm-4pm,Weekday,Blue Line,Eastbound,11,Plenty of room,0.21334367726920092,3-4pm
131,Revere Beach,B.70058,11,1,23.4,37,3pm-4pm,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,3-4pm
132,Wonderland,B.70060,12,0,35,0,3pm-4pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,3-4pm
133,Bowdoin,B.70038,1,26,0,26,4pm-5pm,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,4-5pm
134,Government Center,B.70040,2,102,1.1,128,4pm-5pm,Weekday,Blue Line,Eastbound,21,Plenty of room,0.4072924747866563,4-5pm
135,State,B.70042,3,87,2.1,209,4pm-5pm,Weekday,Blue Line,Eastbound,35,Not crowded,0.6788207913110939,4-5pm
136,Aquarium,B.70044,4,25,6.3,228,4pm-5pm,Weekday,Blue Line,Eastbound,38,Not crowded,0.7370054305663305,4-5pm
137,Maverick,B.70046,5,15,69.4,176,4pm-5pm,Weekday,Blue Line,Eastbound,29,Not crowded,0.5624515128006206,4-5pm
138,Airport,B.70048,6,14,35.3,162,4pm-5pm,Weekday,Blue Line,Eastbound,27,Not crowded,0.5236617532971295,4-5pm
139,Wood Island,B.70050,7,3,12.3,151,4pm-5pm,Weekday,Blue Line,Eastbound,25,Plenty of room,0.4848719937936384,4-5pm
140,Orient Heights,B.70052,8,2,34.5,114,4pm-5pm,Weekday,Blue Line,Eastbound,19,Plenty of room,0.3685027152831653,4-5pm
141,Suffolk Downs,B.70054,9,0,7.4,110,4pm-5pm,Weekday,Blue Line,Eastbound,18,Plenty of room,0.34910783553141966,4-5pm
142,Beachmont,B.70056,10,2,29.8,80,4pm-5pm,Weekday,Blue Line,Eastbound,13,Plenty of room,0.252133436772692,4-5pm
143,Revere Beach,B.70058,11,0,29.2,51,4pm-5pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,4-5pm
144,Wonderland,B.70060,12,0,51.9,0,4pm-5pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,4-5pm
145,Bowdoin,B.70038,1,27,0,27,5pm-6pm,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,5-6pm
146,Government Center,B.70040,2,110,1.3,136,5pm-6pm,Weekday,Blue Line,Eastbound,23,Plenty of room,0.4460822342901474,5-6pm
147,State,B.70042,3,98,2.4,234,5pm-6pm,Weekday,Blue Line,Eastbound,39,Not crowded,0.756400310318076,5-6pm
148,Aquarium,B.70044,4,27,5,250,5pm-6pm,Weekday,Blue Line,Eastbound,42,Not crowded,0.8145849495733126,5-6pm
149,Maverick,B.70046,5,16,77.7,194,5pm-6pm,Weekday,Blue Line,Eastbound,32,Not crowded,0.6206361520558572,5-6pm
150,Airport,B.70048,6,14,34.1,172,5pm-6pm,Weekday,Blue Line,Eastbound,29,Not crowded,0.5624515128006206,5-6pm
151,Wood Island,B.70050,7,2,10.3,163,5pm-6pm,Weekday,Blue Line,Eastbound,27,Not crowded,0.5236617532971295,5-6pm
152,Orient Heights,B.70052,8,3,39.6,126,5pm-6pm,Weekday,Blue Line,Eastbound,21,Plenty of room,0.4072924747866563,5-6pm
153,Suffolk Downs,B.70054,9,0,7,124,5pm-6pm,Weekday,Blue Line,Eastbound,21,Plenty of room,0.4072924747866563,5-6pm
154,Beachmont,B.70056,10,2,31.9,95,5pm-6pm,Weekday,Blue Line,Eastbound,16,Plenty of room,0.3103180760279286,5-6pm
155,Revere Beach,B.70058,11,0,29.3,65,5pm-6pm,Weekday,Blue Line,Eastbound,11,Plenty of room,0.21334367726920092,5-6pm
156,Wonderland,B.70060,12,0,66.8,0,5pm-6pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,5-6pm
157,Bowdoin,B.70038,1,13,0,13,6pm-7pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,6-7pm
158,Government Center,B.70040,2,84,0.8,97,6pm-7pm,Weekday,Blue Line,Eastbound,16,Plenty of room,0.3103180760279286,6-7pm
159,State,B.70042,3,69,1.4,164,6pm-7pm,Weekday,Blue Line,Eastbound,27,Not crowded,0.5236617532971295,6-7pm
160,Aquarium,B.70044,4,19,4.4,180,6pm-7pm,Weekday,Blue Line,Eastbound,30,Not crowded,0.5818463925523661,6-7pm
161,Maverick,B.70046,5,11,64.5,116,6pm-7pm,Weekday,Blue Line,Eastbound,19,Plenty of room,0.3685027152831653,6-7pm
162,Airport,B.70048,6,10,26.5,108,6pm-7pm,Weekday,Blue Line,Eastbound,18,Plenty of room,0.34910783553141966,6-7pm
163,Wood Island,B.70050,7,1,8.5,102,6pm-7pm,Weekday,Blue Line,Eastbound,17,Plenty of room,0.32971295577967413,6-7pm
164,Orient Heights,B.70052,8,2,26.5,81,6pm-7pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,6-7pm
165,Suffolk Downs,B.70054,9,0,4.3,69,6pm-7pm,Weekday,Blue Line,Eastbound,12,Plenty of room,0.23273855702094645,6-7pm
166,Beachmont,B.70056,10,2,17.5,53,6pm-7pm,Weekday,Blue Line,Eastbound,9,Plenty of room,0.17455391776570983,6-7pm
167,Revere Beach,B.70058,11,0,18.6,36,6pm-7pm,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,6-7pm
168,Wonderland,B.70060,12,0,35.4,0,6pm-7pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,6-7pm
169,Bowdoin,B.70038,1,11,0,11,7pm-8pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,7-8pm
170,Government Center,B.70040,2,74,0.6,84,7pm-8pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,7-8pm
171,State,B.70042,3,57,1,137,7pm-8pm,Weekday,Blue Line,Eastbound,23,Plenty of room,0.4460822342901474,7-8pm
172,Aquarium,B.70044,4,16,3.1,154,7pm-8pm,Weekday,Blue Line,Eastbound,26,Not crowded,0.504266873545384,7-8pm
173,Maverick,B.70046,5,10,60.1,105,7pm-8pm,Weekday,Blue Line,Eastbound,18,Plenty of room,0.34910783553141966,7-8pm
174,Airport,B.70048,6,11,25.7,93,7pm-8pm,Weekday,Blue Line,Eastbound,16,Plenty of room,0.3103180760279286,7-8pm
175,Wood Island,B.70050,7,1,8.5,84,7pm-8pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,7-8pm
176,Orient Heights,B.70052,8,2,18.8,58,7pm-8pm,Weekday,Blue Line,Eastbound,10,Plenty of room,0.1939487975174554,7-8pm
177,Suffolk Downs,B.70054,9,0,3.2,51,7pm-8pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,7-8pm
178,Beachmont,B.70056,10,1,13.1,38,7pm-8pm,Weekday,Blue Line,Eastbound,6,Plenty of room,0.11636927851047324,7-8pm
179,Revere Beach,B.70058,11,0,15,23,7pm-8pm,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,7-8pm
180,Wonderland,B.70060,12,0,23.4,0,7pm-8pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,7-8pm
181,Bowdoin,B.70038,1,11,0,11,8pm-9pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,8-9pm
182,Government Center,B.70040,2,71,0.4,81,8pm-9pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,8-9pm
183,State,B.70042,3,53,0.9,133,8pm-9pm,Weekday,Blue Line,Eastbound,22,Plenty of room,0.42668735453840184,8-9pm
184,Aquarium,B.70044,4,15,3,143,8pm-9pm,Weekday,Blue Line,Eastbound,24,Plenty of room,0.4654771140418929,8-9pm
185,Maverick,B.70046,5,11,55.4,98,8pm-9pm,Weekday,Blue Line,Eastbound,16,Plenty of room,0.3103180760279286,8-9pm
186,Airport,B.70048,6,14,26.8,96,8pm-9pm,Weekday,Blue Line,Eastbound,16,Plenty of room,0.3103180760279286,8-9pm
187,Wood Island,B.70050,7,2,8.9,85,8pm-9pm,Weekday,Blue Line,Eastbound,14,Plenty of room,0.27152831652443754,8-9pm
188,Orient Heights,B.70052,8,3,21.4,66,8pm-9pm,Weekday,Blue Line,Eastbound,11,Plenty of room,0.21334367726920092,8-9pm
189,Suffolk Downs,B.70054,9,0,3.8,61,8pm-9pm,Weekday,Blue Line,Eastbound,10,Plenty of room,0.1939487975174554,8-9pm
190,Beachmont,B.70056,10,2,17.9,45,8pm-9pm,Weekday,Blue Line,Eastbound,8,Plenty of room,0.1551590380139643,8-9pm
191,Revere Beach,B.70058,11,0,18.6,27,8pm-9pm,Weekday,Blue Line,Eastbound,4,Plenty of room,0.07757951900698215,8-9pm
192,Wonderland,B.70060,12,0,24,0,8pm-9pm,Weekday,Blue Line,Eastbound,0,Plenty of room,0,8-9pm
193,Bowdoin,B.70038,1,11,0,11,9pm-10pm,Weekday,Blue Line,Eastbound,2,Plenty of room,0.03878975950349107,9-10pm
194,Government Center,B.70040,2,101,0.4,112,9pm-10pm,Weekday,Blue Line,Eastbound,19,Plenty of room,0.3685027152831653,9-10pm
195,State,B.70042,3,61,1,180,9pm-10pm,Weekday,Blue Line,Eastbound,30,Not crowded,0.5818463925523661,9-10pm
196,Aquarium,B.70044,4,23,3,195,9pm-10pm,Weekday,Blue Line,Eastbound,32,Not crowded,0.6206361520558572,9-10pm
197,Maverick,B.70046,5,9,75,134,9pm-10pm,Weekday,Blue Line,Eastbound,22,Plenty of room,0.42668735453840184,9-10pm
198,Airport,B.70048,6,19,36,126,9pm-10pm,Weekday,Blue Line,Eastbound,21,Plenty of room,0.4072924747866563,9-10pm
199,Wood Island,B.70050,7,1,13.1,114,9pm-10pm,Weekday,Blue Line,Eastbound,19,Plenty of room,0.3685027152831653,9-10pm
200,Orient Heights,B.70052,8,2,26.8,89,9pm-10pm,Weekday,Blue Line,Eastbound,15,Plenty of room,0.29092319627618307,9-10pm
201,Suffolk Downs,B.70054,9,0,3.9,75,9pm-10pm,Weekday,Blue Line,Eastbound,12,Plenty of room,0.23273855702094645,9-10pm
